scan_id,status,model_name,cwes,total_findings,confirmed_vulns,false_positives,failed,total_cost_usd,duration_s,start_time,end_time
0836bffd-0d6f-40a7-8187-b7e7ab8dd258,completed,openai/gpt-5.4-pro,"CWE-89,CWE-79,CWE-20,CWE-200,CWE-22,CWE-352,CWE-502,CWE-287,CWE-798,CWE-306,CWE-94,CWE-78,CWE-601,CWE-312,CWE-327,CWE-918,CWE-434,CWE-611,CWE-400,CWE-384",0,0,0,0,0.0,170.52797,2026-03-09T16:04:14.003648,2026-03-09T16:07:04.531618
864bfb41-e056-47de-8721-0e9f42e12571,completed,openai/gpt-5.4-pro,"CWE-89,CWE-79,CWE-20,CWE-200,CWE-22,CWE-352,CWE-502,CWE-287,CWE-798,CWE-306,CWE-94,CWE-78,CWE-601,CWE-312,CWE-327,CWE-918,CWE-434,CWE-611,CWE-400,CWE-384",0,0,0,0,0.0,414.016909,2026-03-09T16:09:19.455377,2026-03-09T16:16:13.472286
8c406efb-b18a-4609-b44e-1deb79a19d13,completed,openai/gpt-5.4-pro,"CWE-89,CWE-79,CWE-20,CWE-200,CWE-22,CWE-352,CWE-502,CWE-287,CWE-798,CWE-306,CWE-94,CWE-78,CWE-601,CWE-312,CWE-327,CWE-918,CWE-434,CWE-611,CWE-400,CWE-384",0,0,0,0,0.0,78.586941,2026-03-09T18:07:14.176343,2026-03-09T18:08:32.763284
5023f7df-3dbc-4032-add2-44c64ea01707,completed,openai/gpt-5.4-pro,"CWE-89,CWE-79,CWE-20,CWE-200,CWE-22,CWE-352,CWE-502,CWE-287,CWE-798,CWE-306,CWE-94,CWE-78,CWE-601,CWE-312,CWE-327,CWE-918,CWE-434,CWE-611,CWE-400,CWE-384",0,0,0,0,0.0,64.605208,2026-03-09T18:11:38.784922,2026-03-09T18:12:43.390130
f59d70a4-c00e-4c21-b655-5e8dbbd1a104,completed,openai/gpt-5.4-pro,"CWE-89,CWE-79,CWE-20,CWE-200,CWE-22,CWE-352,CWE-502,CWE-287,CWE-798,CWE-306,CWE-94,CWE-78,CWE-601,CWE-312,CWE-327,CWE-918,CWE-434,CWE-611,CWE-400,CWE-384",0,0,0,0,0.0,209.13083,2026-03-09T18:16:29.895276,2026-03-09T18:19:59.026106
b3b89597-b403-4739-aa4c-f7e82681ed0f,completed,openai/gpt-5.4-pro,"CWE-89,CWE-79,CWE-20,CWE-200,CWE-22,CWE-352,CWE-502,CWE-287,CWE-798,CWE-306,CWE-94,CWE-78,CWE-601,CWE-312,CWE-327,CWE-918,CWE-434,CWE-611,CWE-400,CWE-384",34,27,7,0,3.45340122,1746.501642,2026-03-09T19:20:07.617516,2026-03-09T19:49:14.119158
d2a0d861-e573-486f-b372-8e46d0d7888c,completed,anthropic/claude-3.5-sonnet,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312,CWE-20,CWE-200",33,26,7,0,2.74109664,1847.293012,2026-03-09T21:30:05.217233,2026-03-09T22:00:52.510245
58dd29f8-a72b-4fe1-b280-d2b5d0c2d64a,completed,anthropic/claude-3.5-sonnet,"CWE-22,CWE-89",18,14,4,0,1.88888963,368.582778,2026-03-09T22:35:47.388969,2026-03-09T22:41:55.971747
eca0b245-2b04-4f57-8e0e-966929d6fc75,completed,openai/gpt-5.4-pro,"CWE-89,CWE-22",18,14,4,0,1.4516805000000002,331.157778,2026-03-09T22:53:08.968767,2026-03-09T22:58:40.126545
f57c5493-6971-4b62-afab-0e700b2475f2,completed,openai/gpt-5.4-pro,"CWE-89,CWE-22",18,14,4,0,1.54754899,350.336375,2026-03-09T23:03:53.174788,2026-03-09T23:09:43.511163
c6c054d3-dad5-4aef-b625-a44d4dda6c69,completed,openai/gpt-5.4-pro,"CWE-89,CWE-22",18,14,4,0,1.8158139599999998,340.14821,2026-03-09T23:22:05.607378,2026-03-09T23:27:45.755588
7040acf5-0ac8-4587-99b0-53e8f51e21e4,completed,openai/gpt-5.4-pro,"CWE-89,CWE-22",18,14,4,0,1.5374100300000004,527.892266,2026-03-10T09:40:15.104755,2026-03-10T09:49:02.997021
5e41223b-f36e-4470-9eeb-ceaa36d10d1e,completed,openai/gpt-5.4-pro,CWE-89,7,3,4,0,0.42580914000000003,115.772226,2026-03-10T09:53:53.956945,2026-03-10T09:55:49.729171
14df46f3-d6c2-43b7-9dfc-5114036c25f1,completed,openai/gpt-5.4-pro,CWE-89,7,3,4,0,0.53938959,127.507207,2026-03-10T10:11:43.214021,2026-03-10T10:13:50.721228
7f0200be-facc-41a0-b129-f51301e6a03e,completed,anthropic/claude-3.5-sonnet,CWE-89,7,3,4,0,0.5610127600000001,133.978597,2026-03-10T10:29:28.073862,2026-03-10T10:31:42.052459
4716bdee-4e0e-4fad-9053-ea9ed833d528,completed,anthropic/claude-3.5-sonnet,CWE-89,7,3,4,0,0.50918563,131.971197,2026-03-10T11:55:08.694767,2026-03-10T11:57:20.665964
